order,aic,mse,rmse,mae
"(0, 1, 0)",3114.7713215468784,711.2501252814445,26.669273054986792,25.346390561101668
"(0, 1, 1)",3087.9885920457577,507.49888267530133,22.5277358532832,20.266182660800066
"(0, 1, 2)",3089.1820929273426,470.80589797248564,21.698062078731493,19.25416571565427
"(0, 2, 0)",3465.543973307906,80757.58903301763,284.1787976486241,255.70469394885018
"(0, 2, 1)",3115.8387495543866,742.3959606243288,27.24694406028553,26.05175332661166
"(0, 2, 2)",3089.808308055291,528.7527710355477,22.994624829197534,20.914988028015532
"(1, 1, 0)",3090.9137088787265,570.4537722426279,23.884174095886756,21.929793333983497
"(1, 1, 1)",3080.477078179967,271.294049050517,16.471006315660162,11.237965166976707
"(1, 1, 2)",3072.414690442983,275.6764782412974,16.603508010095258,11.370851181668193
"(1, 2, 0)",3292.076125445495,32663.82289856557,180.73135560429344,165.18368839798788
"(1, 2, 1)",3092.4968691408285,592.8930681590447,24.349395642583097,22.54218890242214
"(1, 2, 2)",3085.8338112134015,298.97553739040615,17.29090909670183,12.362594063089153
"(2, 1, 0)",3091.2179122528423,536.4349094648995,23.161064514933237,21.063738988785644
"(2, 1, 1)",3071.8906067578755,277.9384444367242,16.671485969664616,11.434235282684481
"(2, 1, 2)",3073.9166464188884,277.20383305983995,16.649439421789552,11.418681226210575
"(2, 2, 0)",3231.1963659430576,24266.37807525703,155.7766929783048,143.2230986068815
"(2, 2, 1)",3092.9301154977584,557.4113834615073,23.609561272109808,21.66223501516153
"(2, 2, 2)",3094.5161527551304,609.4620778114141,24.6872857522129,23.018545892888152
